# timestamp_format: EPOCH_MILLIS
# Created at: Sat Aug 16 19:50:19 2025
 
received_at,protocol,msg_type,source,raw_data
1755366624845,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265781000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.828Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265781000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":0.07504915785289211},{""path"":""navigation.headingTrue"",""value"":3.4033920421660375},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.777375,""latitude"":57.57367833333333}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624861,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:219014435"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.848Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""219014435""}},{""path"":""navigation.speedOverGround"",""value"":5.093001290226994},{""path"":""navigation.courseOverGroundTrue"",""value"":5.43844595045609},{""path"":""navigation.headingTrue"",""value"":5.410520682417803},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.561903333333333,""latitude"":57.854353333333336}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624867,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""values"":[{""path"":""stupan.baga.pressure"",""value"":1.1}],""$source"":""Pico_W_Baga"",""timestamp"":""2025-08-16T17:50:24.854Z""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624877,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:219006092"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.861Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""219006092""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":3.8920842328360328},{""path"":""navigation.headingTrue"",""value"":2.2165681505389068},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":9.962325,""latitude"":57.59330333333333}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624879,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265679120"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.866Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265679120""}},{""path"":"""",""value"":{""name"":""COLOMBE""}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624884,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266388000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.871Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266388000""}},{""path"":""navigation.speedOverGround"",""value"":0.051444457477040344},{""path"":""navigation.courseOverGroundTrue"",""value"":0},{""path"":""navigation.headingTrue"",""value"":5.654866777752801},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.617966666666666,""latitude"":57.77276}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624893,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266388000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.876Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266388000""}},{""path"":""navigation.speedOverGround"",""value"":0.051444457477040344},{""path"":""navigation.courseOverGroundTrue"",""value"":0},{""path"":""navigation.headingTrue"",""value"":5.654866777752801},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.617966666666666,""latitude"":57.77276}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624910,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265226000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.892Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265226000""}},{""path"":""navigation.speedOverGround"",""value"":5.2473346626581145},{""path"":""navigation.courseOverGroundTrue"",""value"":3.74896723413982},{""path"":""navigation.headingTrue"",""value"":3.7000980150728204},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":18.165631666666666,""latitude"":62.653333333333336}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624944,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266274000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.928Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266274000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":6.174974894965867},{""path"":""navigation.headingTrue"",""value"":3.2288591169267535},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.648496666666666,""latitude"":57.681963333333336}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624951,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266274000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.939Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266274000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":6.174974894965867},{""path"":""navigation.headingTrue"",""value"":3.2288591169267535},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.648496666666666,""latitude"":57.681963333333336}}],""$source"":""Gunnar_TCP.AI""}]}
"
